locus_tag,5GB1_FM40_T0m_TR2,5GB1_FM40_T10m_TR3,5GB1_FM40_T20m_TR2,5GB1_FM40_T40m_TR1,5GB1_FM40_T60m_TR1,5GB1_FM40_T90m_TR2,5GB1_FM40_T150m_TR1_remake,5GB1_FM40_T180m_TR1
MBURv2_260019,477.99919572773405,468.4577764381021,538.2493286685908,432.2110915710143,509.3511017507976,490.75791021664753,449.34688820536724,514.8246770455572
MBURv2_260020,100.61745605911935,125.3176644493967,121.61793244621379,120.15374113604814,119.98727625646775,112.65731391241876,105.82167356364533,127.55507086546605
MBURv2_260021,65.41872869140828,82.16407816828696,70.51341323307548,79.64298764860531,65.70567204774854,88.38244546740562,69.33440610560743,87.79039803820764
MBURv2_260022,148.6026077073298,135.1737859212525,145.0396043080606,133.2650865677294,125.14898585127388,141.7838046945889,152.1011805847869,137.51830289644158
MBURv2_260023,85.91353235167193,81.38704435315405,82.2594304171381,77.47262017793645,88.19520988445157,91.81643866220428,89.59832970296416,89.41460281595393
MBURv2_260024,174.2107212473266,180.0205336037422,163.8778452897865,179.91667551639878,223.69766946681992,228.8954509146428,257.0279652458935,225.0574271527889
MBURv2_260025,148.52727688219935,147.5233787481559,146.04682378242214,159.54667247445641,184.03401405597944,192.22164997118853,190.36277510425103,185.3778807677242
MBURv2_260026,90.5620005353944,85.6942158562593,84.6356306137415,92.11284498684836,100.3308518498163,99.62719616057248,104.30389364238174,116.30255138641746
MBURv2_260027,72.278711699356,85.8087513468738,63.79810084307925,85.66885673402285,67.63451916988402,71.81713352124008,71.29960082884084,78.48660274439936
MBURv2_260028,87.54354981068693,81.95169131158504,83.53153759309748,79.27962920199381,80.69972040386308,69.0028602996497,76.89783095436326,70.04334699462308
MBURv2_260029,162.15537799705632,126.84667899882265,157.79682210496193,127.11116074960428,152.1702101376235,108.66716906925315,106.78876069247984,105.98098934995276
MBURv2_260030,232.27172940557233,186.91369357345775,216.29501831540188,187.07542790052028,211.6873126713972,147.3497043001593,181.49314332700177,138.4502167394853
MBURv2_260031,115.12926105958027,111.16133697208652,104.2488636881251,109.2690927489052,98.68483764136433,97.21175511018384,81.38861854303971,88.64002833752404
MBURv2_260032,1188.123400326103,1345.3378289015288,1275.9951643136317,1185.021709767027,1461.7307846737465,1242.5261000405478,1325.5124118362592,1155.7873381761021
MBURv2_260033,1920.097789804935,2158.243257394849,2055.3007941253327,1814.603238983341,2336.817389445047,1861.9288975892316,2508.063877996513,1663.9658848807653
MBURv2_260034,68.74041841254359,59.120117860408904,65.90960679995116,62.32809292725995,58.2029803548658,47.97868409563653,53.379636764695306,46.71253746210178
MBURv2_260035,68.10591417475474,44.57878886546727,63.399091419792086,39.57330484495496,52.946214501676884,36.25946480714076,30.048687575136135,39.761448857849935
MBURv2_260036,94.15735675526203,73.5054473938229,82.17489460640967,69.44272725100377,85.64828816447732,67.02056814762494,72.45636061218914,62.39409204118587
MBURv2_260037,30.013176199265732,27.83208478552055,29.04507445728782,26.281944362051128,29.288926285262164,24.92357055480217,28.519678752675798,25.035607504160208
MBURv2_260038,88.21636100802426,91.2145658256641,88.02222362898605,74.37514055200226,95.47299058550374,85.8409799432209,96.320599267457,82.67421934542358
MBURv2_260039,186.70098967524513,151.23823981502917,172.9449833626173,160.88257978494786,188.44471255692335,184.3482822395409,153.58266294674013,184.70296129890968
MBURv2_260040,144.6469088925032,141.77010068062677,150.91933957828883,158.3346262318304,165.52003808699249,171.35066151078777,141.85685799686374,187.99264659567365
MBURv2_260041,131.57339130568903,119.99400993868935,124.95729989574934,127.02184750106213,143.97585656003275,120.16111248746141,110.88674123887186,119.67432809055614
MBURv2_260042,173.510167683673,155.62682076281612,160.56695854055368,161.22061959100893,167.12877641827447,160.30035901356388,163.64887223442523,150.32353241999533
MBURv2_30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBURv2_30008,65.458522258089,56.53997684900288,54.417509816191696,48.428257587623925,45.40168365857853,34.424471648884655,42.23540376927537,32.225355285279996
MBURv2_30009,80.36820333848176,74.73714975039992,76.55264548247786,75.17697228205235,63.730419146008714,55.42416224949764,71.9983723471045,54.19018758662804
MBURv2_30010,68.37721050302174,57.236606600389194,61.54481537319461,55.84458214409139,63.85612016996534,55.99834505718189,48.72856614271983,50.594998523143666
MBURv2_30011,28.550610310014086,26.544701162783724,25.695805373768124,24.733189943210068,26.84163874802149,25.79789716640982,26.327319658930584,25.254935984500193
MBURv2_30012,17.128060266119757,19.459910674827942,19.22226678196829,18.09205939782895,16.29240884502607,16.81251274413,14.521080323517538,16.323110125394475
MBURv2_30013,22.57190422692725,25.820963702052467,24.394056124499727,24.178891529512207,20.87061734582666,26.289757151456868,22.626072403070076,20.75407989085116
